model,state_id,action,admissible,q_value
Vanilla Offline Actor-Critic,681,10,0,1.174823522567749
Vanilla Offline Actor-Critic,681,11,0,1.172877311706543
Vanilla Offline Actor-Critic,681,12,0,1.169692039489746
Vanilla Offline Actor-Critic,681,13,0,1.170454502105713
Vanilla Offline Actor-Critic,681,14,0,1.1738654375076294
Vanilla Offline Actor-Critic,681,15,0,1.1776891946792603
Vanilla Offline Actor-Critic,681,16,0,1.1718775033950806
Vanilla Offline Actor-Critic,681,17,0,1.1744599342346191
Vanilla Offline Actor-Critic,681,18,0,1.173519253730774
Vanilla Offline Actor-Critic,681,19,0,1.1747820377349854
Vanilla Offline Actor-Critic,681,20,0,1.181061863899231
Vanilla Offline Actor-Critic,681,21,0,1.174215316772461
Vanilla Offline Actor-Critic,681,22,0,1.1764965057373047
Vanilla Offline Actor-Critic,681,23,0,1.168663740158081
Vanilla Offline Actor-Critic,681,24,0,1.1731462478637695
Vanilla Offline Actor-Critic,682,0,1,1.0048017501831055
Vanilla Offline Actor-Critic,682,1,0,1.0063745975494385
Vanilla Offline Actor-Critic,682,2,0,1.0061943531036377
Vanilla Offline Actor-Critic,682,3,0,1.0050790309906006
Vanilla Offline Actor-Critic,682,4,0,1.0079256296157837
Vanilla Offline Actor-Critic,682,5,0,1.0085066556930542
Vanilla Offline Actor-Critic,682,6,0,1.005003571510315
Vanilla Offline Actor-Critic,682,7,0,1.0041049718856812
Vanilla Offline Actor-Critic,682,8,0,1.007978916168213
Vanilla Offline Actor-Critic,682,9,0,1.006670594215393
Vanilla Offline Actor-Critic,682,10,0,1.0074130296707153
Vanilla Offline Actor-Critic,682,11,0,1.0067977905273438
Vanilla Offline Actor-Critic,682,12,0,1.0052764415740967
Vanilla Offline Actor-Critic,682,13,0,1.0059021711349487
Vanilla Offline Actor-Critic,682,14,0,1.0064542293548584
Vanilla Offline Actor-Critic,682,15,0,1.008122444152832
Vanilla Offline Actor-Critic,682,16,0,1.0052969455718994
Vanilla Offline Actor-Critic,682,17,0,1.0075691938400269
Vanilla Offline Actor-Critic,682,18,0,1.0034741163253784
Vanilla Offline Actor-Critic,682,19,0,1.0085175037384033
Vanilla Offline Actor-Critic,682,20,0,1.0057017803192139
Vanilla Offline Actor-Critic,682,21,0,1.0079283714294434
Vanilla Offline Actor-Critic,682,22,0,1.0044869184494019
Vanilla Offline Actor-Critic,682,23,0,1.0064074993133545
Vanilla Offline Actor-Critic,682,24,0,1.003774881362915
Vanilla Offline Actor-Critic,684,0,1,1.0486130714416504
Vanilla Offline Actor-Critic,684,1,0,1.0521436929702759
Vanilla Offline Actor-Critic,684,2,0,1.0534861087799072
Vanilla Offline Actor-Critic,684,3,0,1.0541040897369385
Vanilla Offline Actor-Critic,684,4,0,1.0523877143859863
Vanilla Offline Actor-Critic,684,5,0,1.0442582368850708
Vanilla Offline Actor-Critic,684,6,0,1.0499321222305298
Vanilla Offline Actor-Critic,684,7,0,1.056123971939087
Vanilla Offline Actor-Critic,684,8,0,1.0567591190338135
Vanilla Offline Actor-Critic,684,9,0,1.0511698722839355
Vanilla Offline Actor-Critic,684,10,0,1.0626566410064697
Vanilla Offline Actor-Critic,684,11,0,1.0569521188735962
Vanilla Offline Actor-Critic,684,12,0,1.0514655113220215
Vanilla Offline Actor-Critic,684,13,0,1.0509440898895264
Vanilla Offline Actor-Critic,684,14,0,1.0555768013000488
Vanilla Offline Actor-Critic,684,15,0,1.0512019395828247
Vanilla Offline Actor-Critic,684,16,0,1.055037498474121
Vanilla Offline Actor-Critic,684,17,0,1.054436445236206
Vanilla Offline Actor-Critic,684,18,0,1.0548638105392456
Vanilla Offline Actor-Critic,684,19,0,1.0530507564544678
Vanilla Offline Actor-Critic,684,20,0,1.0618939399719238
Vanilla Offline Actor-Critic,684,21,0,1.055999517440796
Vanilla Offline Actor-Critic,684,22,0,1.055070161819458
Vanilla Offline Actor-Critic,684,23,0,1.0524929761886597
Vanilla Offline Actor-Critic,684,24,0,1.050642967224121
Vanilla Offline Actor-Critic,687,0,1,1.0189884901046753
Vanilla Offline Actor-Critic,687,1,0,1.020621418952942
Vanilla Offline Actor-Critic,687,2,0,1.0175420045852661
Vanilla Offline Actor-Critic,687,3,0,1.018253207206726
Vanilla Offline Actor-Critic,687,4,0,1.017749309539795
Vanilla Offline Actor-Critic,687,5,0,1.0303436517715454
Vanilla Offline Actor-Critic,687,6,0,1.0208913087844849
Vanilla Offline Actor-Critic,687,7,0,1.0191986560821533
Vanilla Offline Actor-Critic,687,8,0,1.020744800567627
Vanilla Offline Actor-Critic,687,9,0,1.0203287601470947
Vanilla Offline Actor-Critic,687,10,0,1.0172513723373413
Vanilla Offline Actor-Critic,687,11,0,1.020277738571167
Vanilla Offline Actor-Critic,687,12,0,1.0139048099517822
Vanilla Offline Actor-Critic,687,13,0,1.019105076789856
Vanilla Offline Actor-Critic,687,14,0,1.0180082321166992
Vanilla Offline Actor-Critic,687,15,0,1.0178430080413818
Vanilla Offline Actor-Critic,687,16,0,1.0201201438903809
Vanilla Offline Actor-Critic,687,17,0,1.0212032794952393
Vanilla Offline Actor-Critic,687,18,0,1.020711898803711
Vanilla Offline Actor-Critic,687,19,0,1.0206449031829834
Vanilla Offline Actor-Critic,687,20,0,1.0136101245880127
Vanilla Offline Actor-Critic,687,21,0,1.0201295614242554
Vanilla Offline Actor-Critic,687,22,0,1.013970136642456
Vanilla Offline Actor-Critic,687,23,0,1.0185924768447876
Vanilla Offline Actor-Critic,687,24,0,1.0214682817459106
Vanilla Offline Actor-Critic,673,0,1,1.0683685541152954
Vanilla Offline Actor-Critic,673,1,0,1.068414330482483
Vanilla Offline Actor-Critic,673,2,0,1.0677884817123413
Vanilla Offline Actor-Critic,673,3,0,1.0657641887664795
Vanilla Offline Actor-Critic,673,4,0,1.0640869140625
Vanilla Offline Actor-Critic,673,5,0,1.0588544607162476
Vanilla Offline Actor-Critic,673,6,0,1.063783049583435
Vanilla Offline Actor-Critic,673,7,0,1.0653365850448608
Vanilla Offline Actor-Critic,673,8,0,1.0676130056381226
Vanilla Offline Actor-Critic,673,9,0,1.0695137977600098
Vanilla Offline Actor-Critic,673,10,0,1.0674562454223633
Vanilla Offline Actor-Critic,673,11,0,1.0699896812438965
Vanilla Offline Actor-Critic,673,12,0,1.0673307180404663
Vanilla Offline Actor-Critic,673,13,0,1.0664056539535522
Vanilla Offline Actor-Critic,673,14,0,1.0661144256591797
Vanilla Offline Actor-Critic,673,15,0,1.0713801383972168
Vanilla Offline Actor-Critic,673,16,0,1.0688234567642212
Vanilla Offline Actor-Critic,673,17,0,1.068523645401001
Vanilla Offline Actor-Critic,673,18,0,1.0677217245101929
Vanilla Offline Actor-Critic,673,19,0,1.065384030342102
Vanilla Offline Actor-Critic,673,20,0,1.06732177734375
Vanilla Offline Actor-Critic,673,21,0,1.069334864616394
Vanilla Offline Actor-Critic,673,22,0,1.0686709880828857
Vanilla Offline Actor-Critic,673,23,0,1.0697847604751587
Vanilla Offline Actor-Critic,673,24,0,1.0678212642669678
Vanilla Offline Actor-Critic,679,0,1,1.0690256357192993
Vanilla Offline Actor-Critic,679,1,1,1.0721279382705688
Vanilla Offline Actor-Critic,679,2,0,1.071027398109436
Vanilla Offline Actor-Critic,679,3,0,1.0676535367965698
Vanilla Offline Actor-Critic,679,4,0,1.0687025785446167
Vanilla Offline Actor-Critic,679,5,0,1.0613532066345215
Vanilla Offline Actor-Critic,679,6,0,1.0682343244552612
Vanilla Offline Actor-Critic,679,7,0,1.0709619522094727
